name,source_category,target_category,limit,conditions
"Crosssell Women Top Hoodies","Women
Tops
Hoodies & Sweatshirts","Gear
Fitness Equipment",4,
"Crosssell Women Top Jackets","Women
Tops
Jackets","Gear
Fitness Equipment",4,
"Crosssell Women Top Tees","Women
Tops
Tees","Gear
Fitness Equipment",4,
"Crosssell Women Top Bras","Women
Tops
Bras & Tanks","Gear
Fitness Equipment",4,
"Crosssell Women Bottom Pants","Women
Bottoms
Pants","Gear
Fitness Equipment",4,
"Crosssell Women Bottom Shorts","Women
Bottoms
Shorts","Gear
Fitness Equipment",4,
"Crosssell Men Top Hoodies","Men
Tops
Hoodies & Sweatshirts","Gear
Fitness Equipment",4,
"Crosssell Men Top Jackets","Men
Tops
Jackets","Gear
Fitness Equipment",4,
"Crosssell Men Top Tees","Men
Tops
Tees","Gear
Fitness Equipment",4,
"Crosssell Men Top Bras","Men
Tops
Tanks","Gear
Fitness Equipment",4,
"Crosssell Men Bottom Pants","Men
Bottoms
Pants","Gear
Fitness Equipment",4,
"Crosssell Men Bottom Shorts","Men
Bottoms
Shorts","Gear
Fitness Equipment",4,
"Crosssell Gear Bags","Gear
Bags","Gear
Fitness Equipment",4,
"Crosssell Gear Fitness Equipment","Gear
Fitness Equipment","Gear
Fitness Equipment",2,
"Crosssell Gear Fitness Equipment - Bags","Gear
Fitness Equipment","Gear
Bags",2,
"Crosssell Gear Video - Fitness Equipment","Training
Video Download","Gear
Fitness Equipment",2,
"Crosssell Gear Video - Bags","Training
Video Download","Gear
Bags",2,
"Crosssell Gear Subscription - Fitness Equipment","Training
Subscription","Gear
Fitness Equipment",2,
"Crosssell Gear Subscription - Bags","Training
Subscription","Gear
Bags",2,
"Crosssell Gift Cards - Fitness Equipment","Gift Cards","Gear
Fitness Equipment",2,
"Crosssell Gift Cards - Bags","Gift Cards","Gear
Bags",2,
