category,name,sku,size,description,price,activity_general,style_bottom,material,pattern,climate,color,eco_collection,performance_fabric,erin_recommends,new,sale,special_price,attribute_set
"Men
Bottoms
Pants
Promotions
Pants","Caesar Warm-Up Pant",MP01,"32
33
34
36","<p>Command your workout and keep your muscles limber in the Caesar Warm-Up Pant. Engineered CoolTech&trade; fabric wicks away moisture so you don't have to worry about sweat and discomfort. The drawstring-adjustable waist helps make sure your pants fit properly.</p>
<p>&bull; Light gray heather knit straight leg pants.<br />&bull; Relaxed fit. <br />&bull; Inseam: 32"". <br />&bull; Machine wash/dry.<br />&bull; CoolTech&trade; wicking fabric.</p>",35,"Gym
Warmup
Crosstraining","Workout Pants
Sweatpants
Track Pants","CoolTech&trade;
Fleece
Hemp
Wool",Solid,"Cool
Spring","Gray
Black
Purple",,,,,,,Bottom
"Men
Bottoms
Pants
Promotions
Pants
Collections
Performance Fabrics","Viktor LumaTech&trade; Pant",MP02,"32
33
34
36","<p>You'll love the new Viktor LumaTech&trade; Pant, with featherweight fleece fabric lining and stretchy, sweat-wicking material. It delivers toasty warmth on the sidelines or in cold-weather training, with reflective trim for a safe finish.</p>
<p>&bull; Dark gray polyester/spandex straight leg pants.<br />&bull; Elastic waistband and internal drawstring.<br />&bull; Relaxed fit. <br />&bull; Machine wash/dry.</p>",46,"Gym
Outdoor
Running
Warmup","Workout Pants
Track Pants","LumaTech&trade;
Polyester
Spandex",Solid,"Cold
Cool
Wintry","Gray
Blue
Red",,1,,,,,Bottom
"Men
Bottoms
Pants
Promotions
Pants
Collections
New Luma Yoga Collection","Geo Insulated Jogging Pant",MP03,"32
33
34
36","<p>In the cold, even the toughest guys shiver, unless they're in the Geo Insulated Jogging Pant. Lightweight and wind resistant, they block brutal wind gusts and warm you to the bone. Breathable mesh keeps them dry on the inside.</p>
<p>&bull; Black polyester spandex pants with zipper pockets.<br />&bull; Reflective safety accents. <br />&bull; Loose fit.<br />&bull; On-seam pockets. <br />&bull; 8"" leg zips. 32"" inseam. <br />&bull; Machine wash/dry.</p>",51,"Outdoor
Running
Warmup
Yoga","Workout Pants
Sweatpants
Track Pants","CoolTech&trade;
Polyester
Rayon
Spandex
Wool",Solid,"All-weather
Cool
Indoor
Windy
Wintry","Blue
Red
Green",,,,1,,,Bottom
"Men
Bottoms
Pants
Promotions
Pants","Supernova Sport Pant",MP04,"32
33
34
36","<p>Turn the corner and open it up -- your driveway is two blocks away. The Supernova Sport Pant gets you there with key features like moisture-wicking LumaTech&trade; fabric and mesh ventilation. Side seam pockets ensure total convenience during rest periods.</p>
<p>&bull; Dark heather gray straight leg cotton pants.<br />&bull; Relaxed fit. <br />&bull; Internal drawstring. <br />&bull; Machine wash/dry.</p>",45,"Outdoor
Running
Warmup
Yoga
Crosstraining","Workout Pants
Sweatpants
Track Pants","LumaTech&trade;
Spandex
Wool",Solid,"All-weather
Cold
Cool
Spring
Windy
Wintry","Gray
Green
Black",,,,,,,Bottom
"Men
Bottoms
Pants
Promotions
Pants
Collections
New Luma Yoga Collection","Kratos Gym Pant",MP05,"32
33
34
36","<p>Like it's namesake god of strength, the Kratos Gym Pant help you bring your best to bear on weight-based, plyometric and endurance exercise. They stretch and support in all the right places while ultra-light construction and moisture-wicking technology provide comfort.</p>
<p>&bull; Navy cotton straight leg pants.<br />&bull; Relaxed fit. <br />&bull; 2 side-seam pockets. <br />&bull; Internal zip pocket. <br />&bull; Drawstring waist. <br />&bull; Machine wash/dry.</p>",57,"Gym
Warmup
Crosstraining","Workout Pants
Base Layer","Organic Cotton
Polyester
Rayon",Solid,"Spring
Windy
Wintry","Blue
Black
Green",,,,1,,,Bottom
"Men
Bottoms
Pants
Promotions
Pants
Collections
Eco Friendly","Mithra Warmup Pant",MP06,"32
33
34
36","<p>When you're not sure you're up to the weather, don the Mithra Warmup Pant for a confidence boost. Its supersoft, stretchy fabric and fleece-like finish help prep your muscles and ease your mind. Designed for relaxed, easy-wear fit with handy ankle zips.</p>
<p>&bull; Ankle zips.<br />&bull; Elasticized waistband with draw cord.<br />&bull; Dual hand pockets.<br />&bull; Reflective elements for low-light safety.</p>",28,"Warmup
Climbing
Crosstraining","Workout Pants
Sweatpants","Fleece
Hemp
Organic Cotton
Polyester
Wool",Solid,"All-weather
Cold
Cool
Mild
Windy
Wintry","Gray
Orange
Green",1,,,,,,Bottom
"Men
Bottoms
Pants
Promotions
Pants
Collections
New Luma Yoga Collection","Thorpe Track Pant",MP07,"32
33
34
36","<p>Thirty degree temps are chilly for most, except when you're in Thorpe Track Pants. These top-of-the-line track bottoms are made from fast-drying, weather-resistant fabric with an internal breathable layer of mesh nylon to wick away moisture.</p>
<p>&bull; Moisture transfer properties. <br />&bull; 7% stretch.<br />&bull; Reflective safety trim.<br />&bull; Elastic drawcord waist.</p>",68,"Outdoor
Running
Warmup
Crosstraining","Workout Pants
Sweatpants
Track Pants","Cocona&reg; performance fabric
Polyester
Rayon
Wool",Solid,"All-weather
Cold
Cool
Spring
Wintry","Blue
Black
Purple",,,,1,,,Bottom
"Men
Bottoms
Pants
Promotions
Pants
Collections
New Luma Yoga Collection","Zeppelin Yoga Pant",MP08,"32
33
34
36","<p>Climb every mountain, or hold every pose, in the all-purpose Zepellin Yoga Pant. With its thin fleece interior and smooth layer-friendly surface, you'll get all the comfort and versatility you need.</p>
<p>&bull; Smooth exterior for easy over-layering.<br />&bull; Brushed fleece interior insulates and wicks. <br />&bull; No-roll elastic waistband with inner drawstring.<br />&bull; Chafe-resistant flatlock seams.</p>",82,"Warmup
Yoga
Lounge
Crosstraining","Workout Pants
Sweatpants
Base Layer
Track Pants
Leggings","Fleece
LumaTech&trade;
Spandex
Wool",Solid,"All-weather
Cool
Spring
Windy
Wintry","Green
Blue
Red",,,,1,,,Bottom
"Men
Bottoms
Pants
Promotions
Pants
Collections
New Luma Yoga Collection
Collections
Erin Recommends","Livingston All-Purpose Tight",MP09,"32
33
34
36","<p>It's not often that your pants work as a yoga staple and a climbing buddy. The Livingston All-Purpose Tight is made with soft, 11% cotton and nylon polymer stretch construction that lets you find the right angle in the studio or on the mountain side.</p>
<p>&bull; Breathable stretch organic cotton/spandex.<br />&bull; Compression fit<br />&bull; Hidden key pocket<br />&bull; Elastic waist with internal drawcord.</p>",75,"Warmup
Yoga
Climbing
Crosstraining","Sweatpants
Base Layer
Compression
Track Pants
Leggings","CoolTech&trade;
Fleece
Polyester
Rayon",Solid,"All-weather
Cold
Cool
Windy
Wintry","Blue
Red
Black",,1,1,1,,,Bottom
"Men
Bottoms
Pants
Promotions
Pants
Collections
Erin Recommends","Orestes Yoga Pant ",MP10,"32
33
34
36","<p>The Orestes Yoga Pant is a yoga basic that sustains the novice yogi well into the expert stage. Organic sustainable cotton and 9% stretch spandex let your body bend to your will while your conscience stays clear.</p>
<p>&bull; A yoga essential.<br />&bull; Breathable stretch organic cotton/spandex.<br />&bull; Standard Fit.</p>",66,"Gym
Warmup
Yoga","Workout Pants
Track Pants
Leggings","Nylon
Organic Cotton
Spandex",Solid,"Cool
Indoor
Mild
Windy
Wintry","Black
Blue
Green",,,1,,,,Bottom
"Men
Bottoms
Pants
Promotions
Pants
Collections
Erin Recommends","Aether Gym Pant ",MP11,"32
33
34
36","<p>The Aether Gym Pant is built for the studio, but adapts perfectly well to outdoor and gym environs too. With lightweight stretch fabric and water-repellent exterior, the Aether is ready for all comers.</p>
<p>&bull; Pants/shorts convertible.<br />&bull; Lightweight moisture wicking. <br />&bull; Water repellent.<br />&bull; Belted waist.</p>",74,"Gym
Outdoor
Yoga
Lounge","Workout Pants
Sweatpants
Track Pants","Cocona&reg; performance fabric
Spandex
Wool",Solid,"All-weather
Cold
Cool
Indoor
Mild
Rainy
Spring
Windy","Brown
Blue
Green",,1,1,,,,Bottom
"Men
Bottoms
Pants
Promotions
Pants","Cronus Yoga Pant ",MP12,"32
33
34
36","<p>Guys who love yoga love this all-purpose yoga pant. Designed for yoga, gym and lounge, the Cronus Yoga Pant is a loose-fitting, classic-style pant made from a lightweight blend of cotton, recycled polyester and a touch of Spandex for the stretch factor.</p>
<p>&bull; Drawstring waist.<br />&bull; Loose, straight-leg fit.<br />&bull; Lightweight cotton-recycled blend.<br />&bull; Front pockets with stitching detail.<br />&bull; Elastic ankle.</p>",48,"Warmup
Yoga
Lounge","Workout Pants
Track Pants
Leggings","Polyester
Cotton
Spandex",Solid,"Cool
Indoor
Mild
Spring
Windy
Wintry","Black
Blue
Red",,,,,,,Bottom
"Men
Bottoms
Shorts
Collections
Erin Recommends","Cobalt CoolTech&trade; Fitness Short",MSH01,"32
33
34
36","<p>It's not rocket surgery: the hotter your conditions, the more you need to stay cool. That's why the Cobalt CoolTech&trade; Fitness Short features built-in technology and side perforations that keep you ventilated and comfortable for the distance. The elastic waist promises a personalized fit.</p>
<p>&bull; Light blue nylon shorts.<br />&bull; Relaxed fit. <br />&bull; 5"" inseam. <br />&bull; Machine wash/dry.</p>",44,"Gym
Outdoor
Running
Cross-training","Workout Pants
Base Layer","CoolTech&trade;
Nylon
Polyester
Wool",Solid,"All-weather
Indoor
Hot","Blue
Red
Black",,,1,,,,Bottom
"Men
Bottoms
Shorts","Apollo Running Short",MSH02,"32
33
34
36","<p>Fleet of foot or slow and steady, you'll be in complete comfort with the Apollo Running Short. Lightweight polyester material lets you move with ease, and mesh side panels promise plenty of ventilation as you work up a sweat. The stretchy elastic waistband delivers a flexible fit.</p>
<p>&bull; Black shorts with green accents.<br />&bull; Side pockets. <br />&bull; 4"" inseam. <br />&bull; Machine wash/dry.</p>",32.5,"Gym
Outdoor
Running
Cross-training","Workout Pants
Base Layer","Polyester
Rayon",Solid,"All-weather
Indoor
Warm",Black,,,,,,,Bottom
"Men
Bottoms
Shorts
Collections
Performance Fabrics","Meteor Workout Short",MSH03,"32
33
34
36","<p>Step into the Meteor Workout Short for an incredibly lightweight fitness experience. Its breathable construction and an inner brief provide additional comfort and support, while the adjustable waistband offers the perfect fit to take you to the finish.</p>
<p>&bull; Royal blue shorts with light blue accents.<br />&bull; Interior drawstring waistband. <br />&bull; 7"" inseam. <br />&bull; Machine wash/dry.</p>",32.5,"Gym
Outdoor
Running
Cross-training","Workout Pants
Base Layer","Cocona&reg; performance fabric
Polyester",Solid,"All-weather
Spring
Warm","Blue
Green
Black",,1,,,,,Bottom
"Men
Bottoms
Shorts","Torque Power Short",MSH04,"32
33
34
36","<p>Take a turn in the Torque Power Short and enjoy the smooth, motion-friendly stretch and sweat-wicking, UV-protective material. You'll stay cool, dry and energized miles later.</p>
<p>&bull; Light gray shorts.<br />&bull; Fitted design. <br />&bull; Elastic waistband. <br />&bull; Flat-seam construction. <br />&bull; 7"" inseam. <br />&bull; Machine wash/dry.</p>",32.5,"Gym
Outdoor
Running
Cross-training","Workout Pants
Base Layer","CoolTech&trade;
Nylon
Polyester",Solid,"Indoor
Hot
Mild
Spring
Warm","Gray
Purple
Yellow",,,,,,,Bottom
"Men
Bottoms
Shorts
Collections
Performance Fabrics","Hawkeye Yoga Short",MSH05,"32
33
34
36","<p>What more do you need than a sporty yoga short made with organic cotton and a little spandex for mobility? The Hawkeye Yoga Short brings a stylish, standard fit you can sport with confidence outside the studio.</p>
<p>&bull; Dark gray shorts with red accents.<br />&bull; 92% Organic Cotton 8% Spandex.<br />&bull; Breathable stretch organic cotton.<br />&bull; Medium=8.0"" (21.0cm) inseam.</p>",29,"Gym
Outdoor
Running
Yoga","Workout Pants
Base Layer","CoolTech&trade;
Linen
Polyester
Rayon
Wool","Solid
Striped","Indoor
Spring
Warm","Gray
Blue
Black",,1,,,,,Bottom
"Men
Bottoms
Shorts
Collections
New Luma Yoga Collection","Lono Yoga Short",MSH06,"32
33
34
36","<p>Some shorts are &ldquo;all-purpose,&rdquo; while the Lono Yoga Short has a single purpose: yoga. Soft, flexible outer material moves with your body, and a secure, integrated boxer brief liner gives you extra confidence as you push your physique to the outer limits.</p>
<p>&bull; Dark gray shorts with mesh accents.<br />&bull; Ultra flexible four-way stretch.<br />&bull; Flatlock seams and waistband.<br />&bull; Two pockets, phony fly.<br />&bull; Nylon/Lycra outer, Polyester/Lycra inner.</p>",32,Yoga,"Workout
Base Layer
Compression","Nylon
Polyester
Rayon",Solid,"All-weather
Indoor
Hot
Warm","Gray
Blue
Red",,,,1,,,Bottom
