category,name,sku,size,description,price,activity_general,style_bottom,material,pattern,climate,color,eco_collection,performance_fabric,erin_recommends,new,sale,special_price,attribute_set
"Women
Bottoms
Pants
Promotions
Pants
Collections
Performance Fabrics","Karmen Yoga Pant",WP01,"26
27
28
29","<p>Good for running, hiking, lounging or stretching, the Cora Parachute Pant presents comfortable styling designed to help you look and feel great.</p>
<p>&bull; Light blue parachute pants.<br />&bull; Power mesh internal waistband for support.<br />&bull; Internal waistband pocket.<br />&bull; Antimicrobial finish.</p>",39,"Aerobic
Lounge
Running
Warmup",Sweatpants,"CoolTech&trade;
Organic Cotton",Solid,"Indoor
Mild","White
Gray
Black",1,1,,,,,Bottom
"Women
Bottoms
Pants
Promotions
Pants
Collections
Performance Fabrics","Emma Leggings",WP02,"26
27
28
29","<p>These comfortable and practical leggings pair perfectly with any workout top or casual tee. The Emma's subtle contrast fabric and fit ensure you're stylish without overdoing it.</p>
<p>&bull; Light blue heather yoga pants. <br />&bull; Body hugging fit.<br />&bull; Low rise fit.</p>",42,"Gym
Lounge
Running
Warmup
Yoga",Sweatpants,"Cocona&reg; performance fabric
Organic Cotton",Solid,"Cool
Indoor
Mild
Spring","Blue
Red
Purple",,1,,,,,Bottom
"Women
Bottoms
Pants
Promotions
Pants
Collections
New Luma Yoga Collection","Ida Workout Parachute Pant",WP03,"26
27
28
29","<p>The Ida Workout Parachute Pant is made of lightweight, super-soft fabric that keeps you comfortable during any level of activity, whether Downward Dog or a few trail miles.</p>
<p>&bull; Royal blue parachute pants.<br />&bull; Contrast stripe.<br />&bull; Relaxed fit. <br />&bull; Drawstring closure.<br />&bull; Machine wash/dry.</p>",48,"Outdoor
Running
Yoga","Parachute
Track Pants","LumaTech&trade;
Nylon
Spandex",Color-Blocked,"Indoor
Hot
Mild
Spring
Warm","Black
Blue
Purple",,,,1,,,Bottom
"Women
Bottoms
Pants
Promotions
Pants","Cora Parachute Pant",WP04,"26
27
28
29","<p>Good for running, hiking, lounging or stretching, the Cora Parachute Pant presents comfortable styling designed to help you look and feel great.</p>
<p>&bull; Light blue parachute pants.<br />&bull; Power mesh internal waistband for support.<br />&bull; Internal waistband pocket.<br />&bull; Antimicrobial finish.</p>",75,"Lounge
Outdoor
Running
Warmup","Parachute
Track Pants","LumaTech&trade;
Nylon
Spandex",Solid,"Indoor
Hot
Mild
Spring
Warm","White
Blue
Black",,,,,,,Bottom
"Women
Bottoms
Pants
Promotions
Pants
Collections
Erin Recommends","Sahara Leggings",WP05,"26
27
28
29","<p>Contrast colors, full-length leggings, and opaque, high-stretch fabric define the Sahara. Flat-locked seams and quick-drying wicking properties prevent chafing. A deep elasticated waistband and carefully positioned seamlines create a flattering silhouette.</p>
<p>&bull; Pinstripe legging with rouched ankles.<br />&bull; Secret pocket at waistband.<br />&bull; Flat seams for comfort.<br />&bull; Shaped fit with low rise.<br />&bull; 4-way stretch, moisture-wicking material.</p>",75,"Gym
Lounge
Warmup
Yoga","Leggings
Sweatpants
Track Pants","LumaTech&trade;
Organic Cotton",Solid,"Cool
Indoor
Spring","Gray
Blue
Red",,,1,,,,Bottom
"Women
Bottoms
Pants
Promotions
Pants
Collections
Erin Recommends","Diana Tights",WP06,"26
27
28
29","<p>Perfect for hot bikram session or cool-down stretching. 8-percent stretch means you'll feel like anything is possible in the capri-style Diana Tights.</p>
<p>&bull; Black legging with slate details.<br />&bull; Flat-lock, chafe-free side seams.<br />&bull; Vented gusset.<br />&bull; Secret interior pocket.<br />&bull; Sustainable and recycled fabric.</p>",59,"Lounge
Warmup
Yoga","Capri
Leggings","Microfiber
Polyester
Spandex",Solid,"All-weather
Cool
Indoor
Mild
Spring
Warm","Black
Orange
Blue",,,1,,,,Bottom
"Women
Bottoms
Pants
Promotions
Pants
Collections
Performance Fabrics","Aeon Capri",WP07,"26
27
28
29","<p>Reach for the stars and beyond in these Aeon Capri pant. With a soft, comfortable feel and moisture wicking fabric, these duo-tone leggings are easy to wear -- and wear attractively.</p>
<p>&bull; Black capris with teal accents.<br />&bull; Thick, 3"" flattering waistband.<br />&bull; Media pocket on inner waistband.<br />&bull; Dry wick finish for ultimate comfort and dryness.</p>",48,"Aerobic
Yoga",Capri,"CoolTech&trade;
Microfiber
Organic Cotton",Color-Blocked,"Indoor
Hot
Mild","Black
Orange
Blue",,1,,,,,Bottom
"Women
Bottoms
Pants
Promotions
Pants","Bardot Capri",WP08,"26
27
28
29","<p>Black is back &mdash; was it ever gone? &mdash; which means all your favorite tops will get along with the comfortable and versatile Bardot Capri.</p>
<p>&bull; Black capris with pink waistband.<br />&bull; Cropped leggings.<br />&bull; Waistband drawcord. <br />&bull; Flat, thin and flattering.<br />&bull; Made with organic fabric.</p>",48,"Crosstraining
Cycling
Gym
Yoga","Capri
Leggings","Microfiber
Rayon
Spandex",Color-Blocked,"Indoor
Hot
Mild
Warm","Red
Black
Green",,,,,,,Bottom
"Women
Bottoms
Pants
Promotions
Pants","Carina Basic Capri",WP09,"26
27
28
29","<p>Perfect as workout pants or ""accessory,"" the Carina Basic Capri is comfy as it is practical -- try it under skirts or shorts.</p>
<p>&bull; Black capris with rouching detail.<br />&bull; 93% cotton, 7% spandex.<br />&bull; Elasticized waistband.<br />&bull; Reinforced seams with exposed topstitching.<br />&bull; Soft, medium-weight jersey with added stretch.</p>",51,"Aerobic
Crosstraining
Gym
Running
Yoga","Capri
Compression
Leggings","Cotton
Spandex",Solid,"All-weather
Indoor
Mild
Spring
Warm","Purple
Black
Blue",,,,,,,Bottom
"Women
Bottoms
Pants
Promotions
Pants
Collections
Eco Friendly","Daria Bikram Pant",WP10,"26
27
28
29","<p>The Daria Bikram Pant is designed to stretch and move with your body to make extreme yoga extremely comfortable.</p>
<p>&bull; Heather gray capris with pink striped waist.<br />&bull; Flatlock seams.<br />&bull; Interior pocket.</p>",51,Yoga,Capri,"Organic Cotton
Spandex",Color-Blocked,"All-weather
Indoor
Mild
Spring
Warm","Gray
Black
White",1,,,,,,Bottom
